;Abs Path;Rel Path;Item Class
0;D:\Programming\AP_Lab3\dataset_3\9904.jpg;dataset_3\9904.jpg;bay horse
1;D:\Programming\AP_Lab3\dataset_3\7710.jpg;dataset_3\7710.jpg;bay horse
2;D:\Programming\AP_Lab3\dataset_3\4421.jpg;dataset_3\4421.jpg;bay horse
3;D:\Programming\AP_Lab3\dataset_3\3476.jpg;dataset_3\3476.jpg;bay horse
4;D:\Programming\AP_Lab3\dataset_3\2549.jpg;dataset_3\2549.jpg;bay horse
5;D:\Programming\AP_Lab3\dataset_3\7763.jpg;dataset_3\7763.jpg;bay horse
6;D:\Programming\AP_Lab3\dataset_3\5890.jpg;dataset_3\5890.jpg;bay horse
7;D:\Programming\AP_Lab3\dataset_3\690.jpg;dataset_3\690.jpg;bay horse
8;D:\Programming\AP_Lab3\dataset_3\9720.jpg;dataset_3\9720.jpg;bay horse
9;D:\Programming\AP_Lab3\dataset_3\4669.jpg;dataset_3\4669.jpg;bay horse
10;D:\Programming\AP_Lab3\dataset_3\4307.jpg;dataset_3\4307.jpg;bay horse
11;D:\Programming\AP_Lab3\dataset_3\6587.jpg;dataset_3\6587.jpg;bay horse
12;D:\Programming\AP_Lab3\dataset_3\8181.jpg;dataset_3\8181.jpg;bay horse
13;D:\Programming\AP_Lab3\dataset_3\2886.jpg;dataset_3\2886.jpg;bay horse
14;D:\Programming\AP_Lab3\dataset_3\1972.jpg;dataset_3\1972.jpg;bay horse
15;D:\Programming\AP_Lab3\dataset_3\6874.jpg;dataset_3\6874.jpg;bay horse
16;D:\Programming\AP_Lab3\dataset_3\2064.jpg;dataset_3\2064.jpg;bay horse
17;D:\Programming\AP_Lab3\dataset_3\3448.jpg;dataset_3\3448.jpg;bay horse
18;D:\Programming\AP_Lab3\dataset_3\3605.jpg;dataset_3\3605.jpg;bay horse
19;D:\Programming\AP_Lab3\dataset_3\3715.jpg;dataset_3\3715.jpg;bay horse
20;D:\Programming\AP_Lab3\dataset_3\6575.jpg;dataset_3\6575.jpg;bay horse
21;D:\Programming\AP_Lab3\dataset_3\5543.jpg;dataset_3\5543.jpg;bay horse
22;D:\Programming\AP_Lab3\dataset_3\1819.jpg;dataset_3\1819.jpg;bay horse
23;D:\Programming\AP_Lab3\dataset_3\5209.jpg;dataset_3\5209.jpg;bay horse
24;D:\Programming\AP_Lab3\dataset_3\8887.jpg;dataset_3\8887.jpg;bay horse
25;D:\Programming\AP_Lab3\dataset_3\2328.jpg;dataset_3\2328.jpg;bay horse
