;Abs Path;Rel Path;Item Class
0;D:\Programming\AP_Lab3\dataset\bay horse\0000.jpg;dataset\bay horse\0000.jpg;bay horse
1;D:\Programming\AP_Lab3\dataset\bay horse\0001.jpg;dataset\bay horse\0001.jpg;bay horse
2;D:\Programming\AP_Lab3\dataset\bay horse\0002.jpg;dataset\bay horse\0002.jpg;bay horse
3;D:\Programming\AP_Lab3\dataset\bay horse\0003.jpg;dataset\bay horse\0003.jpg;bay horse
4;D:\Programming\AP_Lab3\dataset\bay horse\0004.jpg;dataset\bay horse\0004.jpg;bay horse
5;D:\Programming\AP_Lab3\dataset\bay horse\0005.jpg;dataset\bay horse\0005.jpg;bay horse
6;D:\Programming\AP_Lab3\dataset\bay horse\0006.jpg;dataset\bay horse\0006.jpg;bay horse
7;D:\Programming\AP_Lab3\dataset\bay horse\0007.jpg;dataset\bay horse\0007.jpg;bay horse
8;D:\Programming\AP_Lab3\dataset\bay horse\0008.jpg;dataset\bay horse\0008.jpg;bay horse
9;D:\Programming\AP_Lab3\dataset\bay horse\0009.jpg;dataset\bay horse\0009.jpg;bay horse
10;D:\Programming\AP_Lab3\dataset\bay horse\0010.jpg;dataset\bay horse\0010.jpg;bay horse
11;D:\Programming\AP_Lab3\dataset\bay horse\0011.jpg;dataset\bay horse\0011.jpg;bay horse
12;D:\Programming\AP_Lab3\dataset\bay horse\0012.jpg;dataset\bay horse\0012.jpg;bay horse
13;D:\Programming\AP_Lab3\dataset\bay horse\0013.jpg;dataset\bay horse\0013.jpg;bay horse
14;D:\Programming\AP_Lab3\dataset\bay horse\0014.jpg;dataset\bay horse\0014.jpg;bay horse
15;D:\Programming\AP_Lab3\dataset\bay horse\0015.jpg;dataset\bay horse\0015.jpg;bay horse
16;D:\Programming\AP_Lab3\dataset\bay horse\0016.jpg;dataset\bay horse\0016.jpg;bay horse
17;D:\Programming\AP_Lab3\dataset\bay horse\0017.jpg;dataset\bay horse\0017.jpg;bay horse
18;D:\Programming\AP_Lab3\dataset\bay horse\0018.jpg;dataset\bay horse\0018.jpg;bay horse
19;D:\Programming\AP_Lab3\dataset\bay horse\0019.jpg;dataset\bay horse\0019.jpg;bay horse
20;D:\Programming\AP_Lab3\dataset\bay horse\0020.jpg;dataset\bay horse\0020.jpg;bay horse
21;D:\Programming\AP_Lab3\dataset\bay horse\0021.jpg;dataset\bay horse\0021.jpg;bay horse
22;D:\Programming\AP_Lab3\dataset\bay horse\0022.jpg;dataset\bay horse\0022.jpg;bay horse
23;D:\Programming\AP_Lab3\dataset\bay horse\0023.jpg;dataset\bay horse\0023.jpg;bay horse
24;D:\Programming\AP_Lab3\dataset\bay horse\0024.jpg;dataset\bay horse\0024.jpg;bay horse
25;D:\Programming\AP_Lab3\dataset\bay horse\0025.jpg;dataset\bay horse\0025.jpg;bay horse
26;D:\Programming\AP_Lab3\dataset\bay horse\0026.jpg;dataset\bay horse\0026.jpg;bay horse
27;D:\Programming\AP_Lab3\dataset\bay horse\0027.jpg;dataset\bay horse\0027.jpg;bay horse
28;D:\Programming\AP_Lab3\dataset\bay horse\0028.jpg;dataset\bay horse\0028.jpg;bay horse
